,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,L4r6klm7FG4QBbNe8gu5-A,commonplace-coffee-pittsburgh-3,Commonplace Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/5TYkkKgEFP54wzDzmZJjKQ/o.jpg,False,https://www.yelp.com/biz/commonplace-coffee-pittsburgh-3?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,207,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.5,['delivery'],$,+14124220404,(412) 422-0404,735.2755645277779,40.43823644882833,-79.92651553341898,5827 Forbes Ave,,,Pittsburgh,15217,US,PA,"['5827 Forbes Ave', 'Pittsburgh, PA 15217']"
1,DPR86ATfmOo3s9kDhQrzzA,round-table-coffee-pittsburgh,Round Table Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/e8-XBaO0qV_yIKRmmFKK7Q/o.jpg,False,https://www.yelp.com/biz/round-table-coffee-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,16,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,[],$$,+14126263942,(412) 626-3942,2761.763068883177,40.45633388477491,-79.9302752771552,5830 Ellsworth Ave,Ste 100,,Pittsburgh,15232,US,PA,"['5830 Ellsworth Ave', 'Ste 100', 'Pittsburgh, PA 15232']"
2,VXEdPQubTU0alR_K3ZjHZQ,redstart-roasters-pittsburgh,Redstart Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/sK4r8o2D7fRQdluGyBVKLw/o.jpg,False,https://www.yelp.com/biz/redstart-roasters-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,13,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",5.0,[],$,+14126953667,(412) 695-3667,3537.550745351021,40.463755,-79.926798,224 N Euclid Ave,,,Pittsburgh,15206,US,PA,"['224 N Euclid Ave', 'Pittsburgh, PA 15206']"
3,CJu3t6lqoJATXIZaH9sJug,arriviste-coffee-bar-pittsburgh,Arriviste Coffee Bar,https://s3-media4.fl.yelpcdn.com/bphoto/p7hC7bXgZCtarIPfEkyWBQ/o.jpg,False,https://www.yelp.com/biz/arriviste-coffee-bar-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,97,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,['delivery'],$,+14122047320,(412) 204-7320,2676.1481078622724,40.455377483981714,-79.9312134,5730 Ellsworth Ave,,,Pittsburgh,15232,US,PA,"['5730 Ellsworth Ave', 'Pittsburgh, PA 15232']"
4,C3D5ww46iTU6LCWgSwM0vA,madeleine-bakery-and-bistro-wilkinsburg,Madeleine Bakery And Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/7vz0Qjba1K411Q7agvhrEw/o.jpg,False,https://www.yelp.com/biz/madeleine-bakery-and-bistro-wilkinsburg?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,87,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'french', 'title': 'French'}]",4.5,['delivery'],$$,+14123711010,(412) 371-1010,2758.391808926611,40.43896,-79.89202,609 S Trenton Ave,,,Wilkinsburg,15221,US,PA,"['609 S Trenton Ave', 'Wilkinsburg, PA 15221']"
5,RlZuHbb7q-pa5e1_Sy5NCg,klvn-coffee-lab-pgh,Klvn Coffee Lab,https://s3-media1.fl.yelpcdn.com/bphoto/xB9ralxTl3xmNPWW7gXXSA/o.jpg,False,https://www.yelp.com/biz/klvn-coffee-lab-pgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,35,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,['delivery'],$$$,+14126263794,(412) 626-3794,3071.9815406745042,40.4578875086069,-79.9106537441925,152060000 Hamilton Ave,Flr 1,,Pgh,15206,US,PA,"['152060000 Hamilton Ave', 'Flr 1', 'Pgh, PA 15206']"
6,T6qjr_kZSH8GECSoMbx8sQ,the-coffee-tree-roasters-pittsburgh-2,The Coffee Tree Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/XzAEg0BVuWu6xs91JVjS6g/o.jpg,False,https://www.yelp.com/biz/the-coffee-tree-roasters-pittsburgh-2?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,49,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,['delivery'],$,+14124224427,(412) 422-4427,661.6683547385273,40.43789,-79.92144,5840 Forbes Ave,,,Pittsburgh,15217,US,PA,"['5840 Forbes Ave', 'Pittsburgh, PA 15217']"
7,UkM9xM8SkHzMe_x5zl0MhQ,biddles-escape-pittsburgh,Biddle's Escape,https://s3-media2.fl.yelpcdn.com/bphoto/KVo0lqX8NYEtLoecPwU2Xw/o.jpg,False,https://www.yelp.com/biz/biddles-escape-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,180,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,[],$$,+14129999009,(412) 999-9009,2738.7443389028,40.43816,-79.89212,401 Biddle Ave,,,Pittsburgh,15221,US,PA,"['401 Biddle Ave', 'Pittsburgh, PA 15221']"
8,SHlfx41Mo4dk2WR1VyT2_Q,adda-coffee-and-tea-house-pittsburgh,Adda Coffee & Tea House,https://s3-media4.fl.yelpcdn.com/bphoto/siRfvBjmV2ZcDSih7kKXzA/o.jpg,False,https://www.yelp.com/biz/adda-coffee-and-tea-house-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,143,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"['delivery', 'pickup']",$,+14124048403,(412) 404-8403,2977.08577960962,40.4587819423888,-79.9252286377859,200 South Highland Ave,,,Pittsburgh,15206,US,PA,"['200 South Highland Ave', 'Pittsburgh, PA 15206']"
9,E4uunCOBjqk57GzGbXyGpA,five-points-artisan-bakeshop-pittsburgh,Five Points Artisan Bakeshop,https://s3-media3.fl.yelpcdn.com/bphoto/34_SvCkQHyHeOLdOAoMzNg/o.jpg,False,https://www.yelp.com/biz/five-points-artisan-bakeshop-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,150,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",5.0,[],$,+14125212253,(412) 521-2253,1472.5815246020236,40.4443398,-79.916832,6520 Wilkins Ave,,,Pittsburgh,15217,US,PA,"['6520 Wilkins Ave', 'Pittsburgh, PA 15217']"
10,2M8HhQRsKqETmxo8YhtVGQ,commonplace-coffee-pittsburgh-4,Commonplace Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/m56IXoTJgN7zVi8LgiFRug/o.jpg,False,https://www.yelp.com/biz/commonplace-coffee-pittsburgh-4?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,110,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]",4.5,['delivery'],$,+14126613000,(412) 661-3000,3723.123315365213,40.4647789001465,-79.9334182739258,5467 Penn Ave,,,Pittsburgh,15206,US,PA,"['5467 Penn Ave', 'Pittsburgh, PA 15206']"
11,AMGe9WK6bxiEkTYNj_cx0w,the-coffee-tree-roasters-pittsburgh,The Coffee Tree Roasters,https://s3-media4.fl.yelpcdn.com/bphoto/cogCNwGlLxJIhF6QrEW2Ww/o.jpg,False,https://www.yelp.com/biz/the-coffee-tree-roasters-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,174,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.5,[],$,+14126216880,(412) 621-6880,2274.4091260185633,40.45123,-79.93275,5524 Walnut St,,,Pittsburgh,15232,US,PA,"['5524 Walnut St', 'Pittsburgh, PA 15232']"
12,2waRroVl2PY8hDDm1ibzYg,centred-coffee-and-wellness-pittsburgh,Centred Coffee & Wellness,https://s3-media1.fl.yelpcdn.com/bphoto/igCgbeGZzICHh-BQ1OSmKA/o.jpg,False,https://www.yelp.com/biz/centred-coffee-and-wellness-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"['delivery', 'pickup']",,+14127228637,(412) 722-8637,2929.1355696253545,40.4558962,-79.9381396,5408 Centre Ave,,,Pittsburgh,15232,US,PA,"['5408 Centre Ave', 'Pittsburgh, PA 15232']"
13,EUoCwPqsHgbWta0Zw7kt_Q,margaux-pittsburgh,Margaux,https://s3-media2.fl.yelpcdn.com/bphoto/QeaOMt4C2qgTA9fqe8DLHQ/o.jpg,False,https://www.yelp.com/biz/margaux-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,44,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,[],$$,+14124047085,(412) 404-7085,3301.5631333936535,40.46170476586113,-79.92518547907146,5947 Penn Ave,,,Pittsburgh,15206,US,PA,"['5947 Penn Ave', 'Pittsburgh, PA 15206']"
14,99SN6hku1PToQ2E3-4h8CA,jitters-cafe-pittsburgh,Jitters Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/Ynp1IvjXiuPq_Z77OQBquA/o.jpg,False,https://www.yelp.com/biz/jitters-cafe-pittsburgh?adjust_creative=Hi8yaDtOfeAyH6CjPFRvZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Hi8yaDtOfeAyH6CjPFRvZQ,87,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.0,['delivery'],$,+14126212316,(412) 621-2316,2324.0239325618236,40.45182,-79.9324199,5541 Walnut St,,,Pittsburgh,15232,US,PA,"['5541 Walnut St', 'Pittsburgh, PA 15232']"
